"Cage","Counter","Sample_Order","Date","Week","Temperature","Richness","Composition","AOP2","AOP2.gsoh","Col","gsm1","No_Plants","Mummy_raw","Ptoids_raw","BRBR_Survival","BRBR","LYER_Survival","LYER","Mummy_Ptoids_Survival","Mummy_Ptoids"
"21","DTV","51","2018-06-11","2","20 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","116","1","170","NA","0"
"20","DTV","52","2018-06-11","2","20 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","62","1","73","NA","0"
"13","DTV","53","2018-06-11","2","20 C","4","Poly","1","1","1","1","8","NA","NA","1","86","1","125","NA","0"
"8","DTV","54","2018-06-11","2","20 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","98","1","103","NA","0"
"55","DTV","55","2018-06-11","2","23 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","165","1","394","NA","0"
"14","DTV","56","2018-06-11","2","20 C","1","Col","0","0","1","0","8","NA","NA","1","77","1","52","NA","0"
"50","DTV","57","2018-06-11","2","23 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","119","1","212","NA","0"
"10","DTV","58","2018-06-11","2","20 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","152","1","102","NA","0"
"39","DTV","59","2018-06-11","2","23 C","1","gsm1","0","0","0","1","8","NA","NA","1","202","1","473","NA","0"
"56","DTV","60","2018-06-11","2","23 C","1","AOP2.gsoh","0","1","0","0","8","NA","NA","1","72","1","213","NA","0"
"59","MAB","1","2018-06-11","2","23 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","174","1","301","NA","0"
"39","MAB","2","2018-06-11","2","23 C","1","gsm1","0","0","0","1","8","NA","NA","1","227","1","432","NA","0"
"10","MAB","3","2018-06-11","2","20 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","162","1","198","NA","0"
"50","MAB","4","2018-06-11","2","23 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","188","1","222","NA","0"
"14","MAB","5","2018-06-11","2","20 C","1","Col","0","0","1","0","8","NA","NA","1","127","1","67","NA","0"
"56","MAB","6","2018-06-11","2","23 C","1","AOP2.gsoh","0","1","0","0","8","NA","NA","1","182","1","438","NA","0"
"55","MAB","7","2018-06-11","2","23 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","275","1","402","NA","0"
"8","MAB","8","2018-06-11","2","20 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","237","1","129","NA","0"
"13","MAB","9","2018-06-11","2","20 C","4","Poly","1","1","1","1","8","NA","NA","1","147","1","177","NA","0"
"20","MAB","10","2018-06-11","2","20 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","161","1","98","NA","0"
"21","MAB","11","2018-06-11","2","20 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","189","1","185","NA","0"
"45","MAB","12","2018-06-11","2","23 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","192","1","440","NA","0"
"18","MAB","13","2018-06-11","2","20 C","2","Col_AOP2.gsoh","0","1","1","0","8","NA","NA","1","210","1","188","NA","0"
"24","MAB","14","2018-06-11","2","20 C","1","gsm1","0","0","0","1","8","NA","NA","1","138","1","128","NA","0"
"25","MAB","15","2018-06-11","2","20 C","1","AOP2","1","0","0","0","8","NA","NA","1","151","1","141","NA","0"
"26","MAB","16","2018-06-11","2","20 C","1","Col","0","0","1","0","8","NA","NA","1","124","1","231","NA","0"
"2","MAB","17","2018-06-11","2","20 C","4","Poly","1","1","1","1","8","NA","NA","1","200","1","169","NA","0"
"47","MAB","18","2018-06-11","2","23 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","314","1","646","NA","0"
"41","MAB","19","2018-06-11","2","23 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","297","1","738","NA","0"
"4","MAB","20","2018-06-11","2","20 C","1","AOP2","1","0","0","0","8","NA","NA","1","112","1","203","NA","0"
"9","MAB","21","2018-06-11","2","20 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","172","1","213","NA","0"
"29","MAB","22","2018-06-11","2","20 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","151","1","77","NA","0"
"17","MAB","23","2018-06-11","2","20 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","146","1","117","NA","0"
"36","MAB","24","2018-06-11","2","23 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","189","1","606","NA","0"
"7","MAB","25","2018-06-11","2","20 C","4","Poly","1","1","1","1","8","NA","NA","1","127","1","128","NA","0"
"15","MAB","26","2018-06-11","2","20 C","1","AOP2.gsoh","0","1","0","0","8","NA","NA","1","150","1","111","NA","0"
"3","MAB","27","2018-06-11","2","20 C","2","gsm1_AOP2.gsoh","0","1","0","1","8","NA","NA","1","127","1","154","NA","0"
"38","MAB","28","2018-06-11","2","23 C","4","Poly","1","1","1","1","8","NA","NA","1","336","1","518","NA","0"
"31","MAB","29","2018-06-11","2","23 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","360","1","595","NA","0"
"6","MAB","30","2018-06-11","2","20 C","2","Col_AOP2","1","0","1","0","8","NA","NA","1","183","1","71","NA","0"
"60","MAB","31","2018-06-11","2","23 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","233","1","359","NA","0"
"11","MAB","32","2018-06-11","2","20 C","2","gsm1_AOP2","1","0","0","1","8","NA","NA","1","146","1","244","NA","0"
"52","MAB","33","2018-06-11","2","23 C","1","AOP2","1","0","0","0","8","NA","NA","1","154","1","361","NA","0"
"46","MAB","34","2018-06-11","2","23 C","4","Poly","1","1","1","1","8","NA","NA","1","284","1","308","NA","0"
"49","MAB","35","2018-06-11","2","23 C","2","Col_gsm1","0","0","1","1","8","NA","NA","1","297","1","577","NA","0"
